

New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
0	0	8	100
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-3232	16508	-3036	-2152	-44	109	68
-3200	16528	-3128	-2092	-56	116	69
-3200	16568	-2888	-2012	-40	123	81
-3200	16492	-3048	-2120	-36	126	73
-3200	16520	-2952	-1848	-29	120	77
-3216	16592	-2896	-2244	-38	133	74
-3248	16496	-2972	-2120	-40	130	77
-3216	16628	-2940	-2116	-42	132	83
-3216	16384	-2924	-2288	-39	120	78
-3216	16548	-3088	-2128	-37	115	71
-3232	16392	-2892	-2072	-45	124	74
-3264	16568	-3204	-1992	-43	116	69
-3232	16544	-3212	-2144	-42	111	66
-3248	16552	-3132	-1828	-40	121	70
-3232	16580	-3144	-2224	-34	129	73
-3232	16604	-3076	-2172	-46	126	77
-3264	16536	-3116	-2144	-29	125	74
-3232	16560	-3124	-2032	-43	119	78
-3280	16552	-3276	-2272	-20	128	74
-3248	16528	-3124	-2096	-33	117	70
-3280	16512	-2884	-2100	-34	128	77
-3248	16460	-3152	-1796	-37	116	72
-3280	16864	-3028	-2104	-37	125	76
-3248	16636	-3096	-2152	-47	122	76
-3248	16464	-3140	-2108	-39	114	75
-3248	16392	-3096	-2116	-39	124	64
-3248	16544	-3324	-1960	-40	121	78
-3280	16584	-3152	-2304	-38	119	80
-3248	16496	-2856	-2172	-30	127	73
-3248	16536	-3320	-2208	-43	115	63
-3280	16628	-3328	-2204	-42	116	77
-3280	16548	-3180	-2196	-42	115	68
-3248	16552	-3116	-2172	-39	114	77
-3248	16576	-3132	-2264	-33	121	81
-3216	16436	-3124	-1960	-37	120	69
-3280	16512	-3096	-2216	-43	116	62
